Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.31803,20.76822,19.24063,268.2733,-0.1230009
20.39739,20.76822,19.24063,269.0587,-0.1205744
20.42486,20.52558,19.29557,269.8667,-0.1154621
20.53168,20.47216,19.50922,269.4627,-0.1122421
20.4508,20.36381,19.93957,269.4627,-0.1020022
20.29056,20.47216,19.99451,270.6521,-0.09473813
20.23715,20.55305,19.99451,271.4376,-0.08451349
20.07539,20.60646,20.31498,271.0337,-0.0767153
20.15627,20.49811,21.12379,271.4376,-0.06432365
20.18374,20.63393,21.60603,271.8191,-0.04764375
20.26309,20.60646,21.87462,270.2482,-0.03607618
20.34398,20.52558,22.09132,272.2231,-0.01938103
20.42486,20.47216,22.35991,271.8191,-0.00592113
20.47827,20.41875,22.73532,272.2231,0.00886644
20.39739,20.47216,22.84214,271.4376,0.02017458
20.37144,20.49811,23.05885,272.2231,0.03148273
20.20968,20.55305,23.11073,272.627,0.03712916
20.15627,20.65987,23.32743,273.0086,0.04170736
20.1288,20.60646,23.43426,272.2231,0.04520205
20.15627,20.63393,23.59602,272.627,0.04575143
20.20968,20.60646,23.75778,272.2231,0.03067391
20.31803,20.49811,23.97143,273.4125,0.03335978
20.47827,20.49811,24.61848,272.627,0.01533695
20.47827,20.49811,25.20754,272.627,-0.00054938
20.47827,20.52558,25.42425,273.4125,-0.01292577
20.31803,20.55305,24.99389,273.0086,-0.03015505
20.23715,20.60646,25.36931,273.0086,-0.03848736
20.20968,20.68734,25.42425,272.2231,-0.05409901
20.15627,20.65987,25.15566,273.0086,-0.06432365
20.15627,20.57899,25.8546,273.794,-0.07241179
20.15627,20.49811,25.90648,272.627,-0.08263643
20.31803,20.68734,25.42425,273.794,-0.08532231
20.37144,20.57899,25.26248,273.0086,-0.09096874
20.55915,20.92846,24.40178,272.627,-0.09824808
20.15627,20.49811,24.24002,273.4125,-0.09850751
20.31803,20.47216,24.07826,273.4125,-0.09797338
20.29056,20.57899,23.38237,273.794,-0.102811
20.1288,20.68734,23.27249,275.3874,-0.09797338
20.04944,20.63393,23.05885,274.5795,-0.09688988
20.10286,20.65987,22.73532,273.794,-0.0987822
20.20968,20.57899,22.57356,274.198,-0.09931632
20.29056,20.49811,22.46673,274.9835,-0.09473813
20.37144,20.49811,22.52167,274.5795,-0.1022769
20.42486,20.49811,22.52167,275.3874,-0.09985045
20.39739,20.49811,22.19814,276.5544,-0.09797338
20.34398,20.57899,22.19814,276.1729,-0.09473813
20.20968,20.57899,22.09132,276.9584,-0.08666524
20.10286,20.63393,22.09132,276.5544,-0.07940117
20.04944,20.63393,22.25308,276.1729,-0.07241179
20.1288,20.60646,22.52167,277.7439,-0.06945123
20.15627,20.55305,22.57356,276.1729,-0.06540716
20.23715,20.47216,22.73532,277.3623,-0.05652545
20.34398,20.49811,22.68343,277.3623,-0.05409901
20.42486,20.52558,22.84214,277.7439,-0.04063912
20.34398,20.52558,22.89708,276.9584,-0.04091381
20.34398,20.55305,22.84214,277.3623,-0.03418386
20.29056,20.63393,23.11073,278.1478,-0.02826273
20.10286,20.49811,23.70284,276.9584,-0.0266451
20.10286,20.63393,23.43426,278.5293,-0.02046453
20.18374,20.52558,23.32743,278.1478,-0.01588634
20.04944,20.28446,23.54108,277.7439,-0.00969051
20.39739,20.47216,23.65096,277.7439,-0.00270114
20.37144,20.49811,23.65096,277.7439,0.00053412
20.50574,20.49811,23.65096,277.7439,0.00025943
20.42486,20.57899,23.70284,278.1478,0.00618056
20.37144,20.60646,23.75778,278.5293,0.00671469
20.31803,20.71328,23.65096,278.5293,0.00160237
20.20968,20.63393,23.75778,279.3148,-0.00161763
20.02197,20.65987,23.70284,279.3148,-0.00376938
20.1288,20.60646,23.80967,278.9333,-0.00915639
20.18374,20.55305,23.75778,279.7188,-0.00969051
20.26309,20.52558,23.75778,279.3148,-0.00969051
20.39739,20.47216,23.86461,278.9333,-0.00700464
20.47827,20.52558,23.86461,279.7188,-0.0045782
20.42486,20.57899,23.91954,278.9333,0.00511232
20.29056,20.63393,23.75778,279.3148,0.01614577
20.31803,20.68734,23.54108,279.3148,0.02044927
20.15627,20.63393,23.43426,281.2897,0.0341686
20.07539,20.68734,23.54108,279.7188,0.04385911
20.07539,20.60646,23.65096,280.1227,0.04709437
20.10286,20.52558,23.65096,280.9082,0.05031437
20.23715,20.47216,23.59602,281.2897,0.05167257
20.31803,20.49811,23.54108,279.7188,0.04170736
20.39739,20.55305,23.65096,279.7188,0.03712916
20.31803,20.47216,23.54108,279.7188,0.02260103
20.34398,20.68734,23.32743,281.2897,0.01022464
20.20968,20.65987,23.38237,280.9082,-0.00054938
20.26309,20.65987,23.43426,281.6937,-0.01049933
20.07539,20.65987,23.32743,281.6937,-0.00969051
19.96856,20.52558,23.43426,281.6937,-0.01561165
20.07539,20.60646,23.05885,281.6937,-0.00996521
20.18374,20.25699,23.16567,281.6937,-0.00027469
20.53168,20.47216,23.05885,282.0976,0.00726407
20.37144,20.15016,23.00391,281.6937,0.01614577
20.50574,20.65987,22.79026,283.2646,0.03039922
20.31803,20.63393,22.79026,282.4792,0.03632035
20.26309,20.63393,22.62849,282.0976,0.0398303
20.20968,20.57899,22.25308,282.8831,0.04143267
20.1288,20.57899,22.57356,282.4792,0.04008973
20.1288,20.52558,22.35991,283.6686,0.03013979
20.1288,20.47216,22.09132,283.6686,0.0252869
20.20968,20.47216,21.12379,283.6686,0.01452814
20.37144,20.47216,18.48981,282.8831,-0.00108351
20.47827,20.55305,17.6291,284.4541,-0.00619583
20.50574,20.57899,18.54169,283.2646,-0.01292577
20.55915,20.63393,18.27311,285.6435,-0.01696984
20.47827,20.65987,17.73593,285.2395,-0.0234251
20.39739,20.65987,17.94958,285.2395,-0.01993041
20.20968,20.57899,17.84275,286.8329,-0.02504273
20.26309,20.52558,17.89769,286.429,-0.02423391
20.29056,20.41875,17.89769,286.8329,-0.02638567
20.37144,20.49811,17.89769,287.2144,-0.03177268
20.4508,20.49811,17.6291,288.4039,-0.03661031
20.58509,20.60646,17.6291,287.6184,-0.04791845
20.61256,20.65987,17.79087,288.4039,-0.04468319
20.61256,20.71328,18.11134,288.7854,-0.04764375
20.53168,20.63393,18.32804,288.4039,-0.04926138
20.47827,20.65987,18.75839,289.5933,-0.04387438
20.34398,20.55305,18.86522,288.4039,-0.03848736
20.26309,20.4447,19.24063,289.5933,-0.0277286
20.37144,20.71328,19.72592,290.7603,-0.01049933
20.29056,20.55305,19.77781,289.1894,-0.0045782
20.53168,20.84758,19.99451,289.5933,0.01048407
20.53168,20.52558,20.26309,290.3788,0.02447809
20.69344,20.74075,20.80027,289.9748,0.03120803
20.71939,20.71328,20.74533,289.5933,0.04198205
20.55915,20.74075,21.12379,290.7603,0.04279087
