Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.66598,20.55305,37.08949,294.3286,0.01506226
20.4508,20.49811,37.95019,293.1392,0.00456294
20.23715,20.49811,38.16384,291.9497,-0.00969051
20.23715,20.65987,38.70406,292.3537,-0.0088817
20.39739,20.65987,38.64913,290.7603,-0.00538701
20.50574,20.49811,37.95019,289.5933,0.00160237
20.39739,20.47216,38.38054,290.3788,0.01156757
20.1288,20.60646,35.52985,288.4039,0.01802283
20.15627,20.68734,33.05762,289.5933,0.02421865
20.34398,20.65987,33.38115,288.7854,0.02798804
20.42486,20.49811,33.00269,289.1894,0.0309486
20.39739,20.60646,34.13197,289.9748,0.0298651
20.20968,20.60646,33.64974,288.7854,0.02421865
20.23715,20.63393,32.57539,289.1894,0.01802283
20.23715,20.65987,33.8115,287.9999,0.00456294
20.47827,20.52558,33.32621,289.1894,-0.01239165
20.37144,20.52558,33.16445,289.1894,-0.02638567
20.1288,20.60646,33.91832,287.6184,-0.03149799
20.15627,20.63393,33.75656,287.9999,-0.03068917
20.20968,20.57899,34.13197,287.6184,-0.02745391
20.42486,20.4447,34.29374,288.7854,-0.02853742
20.34398,20.39128,33.48798,287.9999,-0.02585154
20.18374,20.47216,32.52045,288.4039,-0.02315041
20.07539,20.47216,34.02515,287.2144,-0.03311561
20.23715,20.39128,33.75656,287.2144,-0.03311561
20.42486,20.25699,33.8115,287.6184,-0.02395922
20.29056,20.09523,33.64974,286.429,-0.0145434
20.1288,20.52558,33.21938,286.429,-0.00054938
20.18374,20.22952,32.78904,287.2144,0.01748871
20.23715,20.3104,33.27433,286.429,0.03175741
20.4508,20.28446,33.86339,287.9999,0.03955561
20.37144,20.28446,34.08009,286.8329,0.03793798
20.20968,20.39128,34.13197,286.025,0.04062385
20.1288,20.39128,33.97326,286.025,0.03363448
20.26309,20.28446,34.08009,286.429,0.03201685
20.37144,20.22952,34.29374,286.429,0.02662984
20.39739,20.25699,34.72409,284.0501,0.02771334
20.18374,20.36381,34.99268,284.4541,0.02905628
20.02197,20.33787,34.72409,285.2395,0.03282566
20.18374,20.22952,35.36808,285.2395,0.03471798
20.4508,20.20358,35.3162,284.858,0.03013979
20.37144,20.15016,35.04761,284.4541,0.02583628
20.34398,20.41875,35.04761,283.6686,0.02394396
20.02197,20.33787,35.36808,284.0501,0.01075876
20.15627,20.20358,35.3162,283.2646,0.00994995
